ID,Crime_Category ,
1,Crimes against Persons,
2,Crimes against Public Order,
3,Other Crimes,
4,Crimes against Public Order,
5,Other Crimes,
6,Crimes against Persons,
7,Other Crimes,
8,Property Crimes,
9,Property Crimes,
10,Other Crimes,
11,Crimes against Public Order,
12,Fraud and White-Collar Crimes,
13,Property Crimes,
14,Violent Crimes,
15,Other Crimes,
16,Violent Crimes,
17,Other Crimes,
18,Violent Crimes,
19,Fraud and White-Collar Crimes,
20,Violent Crimes,
21,Crimes against Persons,
22,Fraud and White-Collar Crimes,
23,Other Crimes,
24,Crimes against Public Order,
25,Crimes against Persons,
26,Other Crimes,
27,Fraud and White-Collar Crimes,
28,Crimes against Public Order,
29,Fraud and White-Collar Crimes,
30,Crimes against Public Order,
31,Violent Crimes,
32,Violent Crimes,
33,Other Crimes,
34,Crimes against Persons,
35,Property Crimes,
36,Property Crimes,
37,Crimes against Persons,
38,Crimes against Persons,
39,Crimes against Persons,
40,Property Crimes,
41,Violent Crimes,
42,Property Crimes,
43,Property Crimes,
44,Violent Crimes,
45,Violent Crimes,
46,Crimes against Public Order,
47,Other Crimes,
48,Other Crimes,
49,Crimes against Persons,
50,Fraud and White-Collar Crimes,
51,Property Crimes,
52,Crimes against Public Order,
53,Violent Crimes,
54,Violent Crimes,
55,Violent Crimes,
56,Property Crimes,
57,Property Crimes,
58,Violent Crimes,
59,Crimes against Persons,
60,Crimes against Public Order,
61,Fraud and White-Collar Crimes,
62,Property Crimes,
63,Property Crimes,
64,Other Crimes,
65,Crimes against Persons,
66,Property Crimes,
67,Violent Crimes,
68,Crimes against Persons,
69,Property Crimes,
70,Property Crimes,
71,Property Crimes,
72,Violent Crimes,
73,Fraud and White-Collar Crimes,
74,Property Crimes,
75,Other Crimes,
76,Violent Crimes,
77,Property Crimes,
78,Crimes against Public Order,
79,Other Crimes,
80,Fraud and White-Collar Crimes,
81,Fraud and White-Collar Crimes,
82,Other Crimes,
83,Crimes against Public Order,
84,Crimes against Public Order,
85,Other Crimes,
86,Other Crimes,
87,Fraud and White-Collar Crimes,
88,Crimes against Persons,
89,Fraud and White-Collar Crimes,
90,Other Crimes,
91,Violent Crimes,
92,Fraud and White-Collar Crimes,
93,Crimes against Public Order,
94,Fraud and White-Collar Crimes,
95,Crimes against Persons,
96,Crimes against Persons,
97,Property Crimes,
98,Crimes against Public Order,
99,Crimes against Persons,
100,Violent Crimes,
101,Crimes against Public Order,
102,Other Crimes,
103,Crimes against Persons,
104,Other Crimes,
105,Violent Crimes,
106,Other Crimes,
107,Violent Crimes,
108,Crimes against Public Order,
109,Crimes against Persons,
110,Other Crimes,
111,Crimes against Persons,
112,Fraud and White-Collar Crimes,
113,Property Crimes,
114,Violent Crimes,
115,Other Crimes,
116,Violent Crimes,
117,Property Crimes,
118,Fraud and White-Collar Crimes,
119,Fraud and White-Collar Crimes,
120,Crimes against Persons,
121,Fraud and White-Collar Crimes,
122,Violent Crimes,
123,Property Crimes,
124,Violent Crimes,
125,Violent Crimes,
126,Other Crimes,
127,Violent Crimes,
128,Crimes against Public Order,
129,Property Crimes,
130,Fraud and White-Collar Crimes,
131,Violent Crimes,
132,Crimes against Persons,
133,Violent Crimes,
134,Fraud and White-Collar Crimes,
135,Crimes against Public Order,
136,Crimes against Persons,
137,Crimes against Public Order,
138,Violent Crimes,
139,Property Crimes,
140,Property Crimes,
141,Crimes against Persons,
142,Property Crimes,
143,Crimes against Public Order,
144,Other Crimes,
145,Fraud and White-Collar Crimes,
146,Fraud and White-Collar Crimes,
147,Crimes against Public Order,
148,Crimes against Persons,
149,Other Crimes,
150,Fraud and White-Collar Crimes,
151,Crimes against Persons,
152,Fraud and White-Collar Crimes,
153,Fraud and White-Collar Crimes,
154,Property Crimes,
155,Violent Crimes,
156,Other Crimes,
157,Fraud and White-Collar Crimes,
158,Fraud and White-Collar Crimes,
159,Other Crimes,
160,Crimes against Public Order,
161,Violent Crimes,
162,Property Crimes,
163,Fraud and White-Collar Crimes,
164,Crimes against Persons,
165,Violent Crimes,
166,Violent Crimes,
167,Fraud and White-Collar Crimes,
168,Other Crimes,
169,Crimes against Persons,
170,Fraud and White-Collar Crimes,
171,Fraud and White-Collar Crimes,
172,Crimes against Public Order,
173,Crimes against Public Order,
174,Other Crimes,
175,Fraud and White-Collar Crimes,
176,Property Crimes,
177,Property Crimes,
178,Crimes against Persons,
179,Violent Crimes,
180,Crimes against Persons,
181,Other Crimes,
182,Other Crimes,
183,Violent Crimes,
184,Fraud and White-Collar Crimes,
185,Crimes against Public Order,
186,Property Crimes,
187,Other Crimes,
188,Crimes against Persons,
189,Crimes against Persons,
190,Fraud and White-Collar Crimes,
191,Crimes against Persons,
192,Crimes against Persons,
193,Other Crimes,
194,Fraud and White-Collar Crimes,
195,Violent Crimes,
196,Violent Crimes,
197,Fraud and White-Collar Crimes,
198,Other Crimes,
199,Crimes against Public Order,
200,Crimes against Public Order,
201,Violent Crimes,
202,Crimes against Persons,
203,Crimes against Public Order,
204,Property Crimes,
205,Property Crimes,
206,Fraud and White-Collar Crimes,
207,Violent Crimes,
208,Other Crimes,
209,Crimes against Persons,
210,Fraud and White-Collar Crimes,
211,Violent Crimes,
212,Crimes against Persons,
213,Crimes against Persons,
214,Crimes against Public Order,
215,Other Crimes,
216,Fraud and White-Collar Crimes,
217,Property Crimes,
218,Crimes against Persons,
219,Crimes against Persons,
220,Other Crimes,
221,Crimes against Public Order,
222,Crimes against Persons,
223,Fraud and White-Collar Crimes,
224,Crimes against Persons,
225,Other Crimes,
226,Crimes against Public Order,
227,Crimes against Persons,
228,Crimes against Persons,
229,Property Crimes,
230,Other Crimes,
231,Property Crimes,
232,Fraud and White-Collar Crimes,
233,Crimes against Persons,
234,Property Crimes,
235,Fraud and White-Collar Crimes,
236,Crimes against Public Order,
237,Property Crimes,
238,Fraud and White-Collar Crimes,
239,Fraud and White-Collar Crimes,
240,Violent Crimes,
241,Fraud and White-Collar Crimes,
242,Violent Crimes,
243,Other Crimes,
244,Property Crimes,
245,Crimes against Public Order,
246,Fraud and White-Collar Crimes,
247,Fraud and White-Collar Crimes,
248,Violent Crimes,
249,Violent Crimes,
250,Violent Crimes,
251,Crimes against Public Order,
252,Other Crimes,
253,Fraud and White-Collar Crimes,
254,Crimes against Persons,
255,Other Crimes,
256,Other Crimes,
257,Property Crimes,
258,Other Crimes,
259,Property Crimes,
260,Crimes against Public Order,
261,Fraud and White-Collar Crimes,
262,Property Crimes,
263,Crimes against Public Order,
264,Fraud and White-Collar Crimes,
265,Crimes against Persons,
266,Crimes against Public Order,
267,Other Crimes,
268,Crimes against Persons,
269,Crimes against Public Order,
270,Crimes against Public Order,
271,Crimes against Public Order,
272,Fraud and White-Collar Crimes,
273,Crimes against Persons,
274,Violent Crimes,
275,Fraud and White-Collar Crimes,
276,Crimes against Persons,
277,Violent Crimes,
278,Other Crimes,
279,Crimes against Public Order,
280,Crimes against Persons,
281,Crimes against Persons,
282,Crimes against Public Order,
283,Violent Crimes,
284,Property Crimes,
285,Property Crimes,
286,Other Crimes,
287,Violent Crimes,
288,Violent Crimes,
289,Fraud and White-Collar Crimes,
290,Crimes against Public Order,
291,Crimes against Persons,
292,Fraud and White-Collar Crimes,
293,Crimes against Persons,
294,Crimes against Public Order,
295,Property Crimes,
296,Fraud and White-Collar Crimes,
297,Other Crimes,
298,Other Crimes,
299,Other Crimes,
300,Other Crimes,
301,Crimes against Public Order,
302,Property Crimes,
303,Crimes against Public Order,
304,Fraud and White-Collar Crimes,
305,Other Crimes,
306,Violent Crimes,
307,Crimes against Public Order,
308,Other Crimes,
309,Crimes against Persons,
310,Violent Crimes,
311,Other Crimes,
312,Fraud and White-Collar Crimes,
313,Crimes against Persons,
314,Crimes against Persons,
315,Fraud and White-Collar Crimes,
316,Crimes against Persons,
317,Property Crimes,
318,Fraud and White-Collar Crimes,
319,Crimes against Persons,
320,Property Crimes,
321,Crimes against Persons,
322,Property Crimes,
323,Crimes against Public Order,
324,Other Crimes,
325,Crimes against Persons,
326,Crimes against Persons,
327,Fraud and White-Collar Crimes,
328,Other Crimes,
329,Crimes against Persons,
330,Violent Crimes,
331,Other Crimes,
332,Crimes against Persons,
333,Violent Crimes,
334,Violent Crimes,
335,Crimes against Persons,
336,Violent Crimes,
337,Crimes against Public Order,
338,Other Crimes,
339,Violent Crimes,
340,Crimes against Public Order,
341,Crimes against Persons,
342,Property Crimes,
343,Property Crimes,
344,Fraud and White-Collar Crimes,
345,Crimes against Public Order,
346,Property Crimes,
347,Other Crimes,
348,Crimes against Public Order,
349,Fraud and White-Collar Crimes,
350,Fraud and White-Collar Crimes,
351,Crimes against Persons,
